xg,yg,zg,xa,ya,za,lat,long
273.0,-35.0,-451.5,-0.4,5.95,1013.4,ND,ND
288.75,-26.25,-453.25,-0.7,5.8,1014.9,ND,ND
281.75,-31.5,-455.0,-0.5,6.25,1015.35,ND,ND
3644.15,-1974.3,-474.4,30.15,5.6,1119.95,ND,ND
8458.3,-7030.05,5534.4,488.6,-187.9,719.7,ND,ND
1709.5,4415.6,-5171.85,547.0,137.1,1936.3,ND,ND
-3052.65,-195.3,1975.75,332.2,199.7,938.5,ND,ND
-5701.15,-323.7,3426.05,387.45,-156.3,160.1,ND,ND
-4726.95,-9647.9,-5907.0,-209.0,4.4,1124.5,ND,ND
1471.45,3140.25,7034.45,-71.7,293.55,1054.55,ND,ND
7703.9,-4284.25,-6312.55,84.85,-639.45,944.25,ND,ND
-5956.05,3325.55,-4296.15,413.45,-762.0,727.0,ND,ND
-7581.35,-1290.55,2630.45,498.75,-305.75,1331.75,ND,ND
-5273.75,-2704.55,1326.85,722.5,-30.1,1285.9,ND,ND
7422.35,-4254.5,-1123.0,907.75,543.95,1010.4,ND,ND
-2670.5,743.35,1733.1,-378.7,-572.75,715.85,ND,ND
-1523.6,-2450.15,-4656.05,-437.6,-749.0,815.2,ND,ND
3574.65,979.95,-3375.85,-923.8,-804.1,702.95,ND,ND
3887.5,-5278.9,408.7,1108.3,-127.75,337.0,ND,ND
3982.45,2796.35,5784.2,-1071.5,-1374.8,755.95,ND,ND
-2516.85,-901.45,-1304.1,9.75,-1498.8,433.65,ND,ND
6532.15,1090.25,1104.1,836.85,-1304.65,646.15,ND,ND
-5153.45,-2783.05,-7229.9,902.25,-882.35,1482.85,ND,ND
-2821.8,-1708.1,1796.6,-291.25,-189.25,1231.55,ND,ND
4107.0,-2332.75,-2916.1,-344.05,-177.75,1155.25,ND,ND
-3821.95,6702.25,1115.75,-95.85,-9.05,942.75,ND,ND
-4518.7,-1626.5,4204.45,-48.55,-23.85,730.75,ND,ND
1550.5,381.5,-453.25,-0.45,13.35,1015.35,ND,ND
-1725.5,-665.0,-486.5,-0.05,12.35,1014.65,ND,ND
63.0,-80.5,-434.0,0.45,10.15,1015.35,ND,ND
316.75,-33.25,-409.5,0.75,10.45,1015.05,ND,ND
190.75,-3.5,-435.75,0.95,11.65,1016.5,ND,ND
204.75,87.5,-332.5,1.9,15.9,1013.55,ND,ND
222.25,77.0,-344.75,1.75,15.75,1013.85,ND,ND
197.75,77.0,-332.5,1.95,15.9,1013.85,ND,ND
208.25,80.5,-329.0,1.8,15.8,1013.75,ND,ND
208.25,84.0,-327.25,1.7,16.0,1013.8,ND,ND
222.25,78.75,-346.5,1.7,15.9,1015.05,ND,ND
232.75,54.25,-351.75,1.95,16.0,1013.9,ND,ND
180.25,110.25,-339.5,1.75,16.15,1013.25,ND,ND
157.5,150.5,-348.25,1.55,16.0,1015.1,ND,ND
276.5,59.5,-332.5,1.35,15.7,1013.95,ND,ND
203.0,87.5,-337.75,1.2,15.7,1013.45,ND,ND
201.25,87.5,-343.0,1.3,16.05,1014.1,ND,ND
176.75,89.25,-332.5,1.3,16.2,1014.25,ND,ND
161.0,124.25,-339.5,1.25,16.0,1014.35,ND,ND
203.0,84.0,-339.5,1.15,15.6,1013.7,ND,ND
